KODE_INSTANSI;NAMA_INSTANSI;TINGKAT;NAMA_FORMASI;JENJANG
PEMKAB-KABPESAWARAN;Pemerintah Kabupaten Pesawaran;daerah;;
PEMKAB-KABPESISIRBARAT;Pemerintah Kabupaten Pesisir Barat;daerah;;
PEMKAB-KABPRINGSEWU;Pemerintah Kabupaten Pringsewu;daerah;;
PEMKAB-KABTANGGAMUS;Pemerintah Kabupaten Tanggamus;daerah;;
PEMKAB-KABTULANGBAWANGBARAT;Pemerintah Kabupaten Tulang Bawang Barat;daerah;;
PEMKAB-KABTULANGBAWANG;Pemerintah Kabupaten Tulangbawang;daerah;;
PEMKAB-KABWAYKANAN;Pemerintah Kabupaten Way Kanan;daerah;;
PEMKOT-KOTABANDARLAMPUNG;Pemerintah Kota Bandar Lampung;daerah;;
PEMKOT-KOTAMETRO;Pemerintah Kota Metro;daerah;;
PEMPROV-MALUKU;Pemerintah Provinsi Maluku;daerah;;
PEMKAB-KABBURU;Pemerintah Kabupaten Buru;daerah;;
PEMKAB-KABBURUSELATAN;Pemerintah Kabupaten Buru Selatan;daerah;;
PEMKAB-KABKEPULAUANARU;Pemerintah Kabupaten Kepulauan Aru;daerah;;
PEMKAB-KABMALUKUBARATDAYA;Pemerintah Kabupaten Maluku Barat Daya;daerah;;
PEMKAB-KABMALUKUTENGAH;Pemerintah Kabupaten Maluku Tengah;daerah;;
PEMKAB-KABMALUKUTENGGARA;Pemerintah Kabupaten Maluku Tenggara;daerah;;
PEMKAB-KABMALUKUTENGGARABARAT;Pemerintah Kabupaten Maluku Tenggara Barat;daerah;;
PEMKAB-KABSERAMBAGIANBARAT;Pemerintah Kabupaten Seram Bagian Barat;daerah;;
PEMKAB-KABSERAMBAGIANTIMUR;Pemerintah Kabupaten Seram Bagian Timur;daerah;;
PEMKOT-KOTAAMBON;Pemerintah Kota Ambon;daerah;;
PEMKOT-KOTATUAL;Pemerintah Kota Tual;daerah;;
PEMPROV-MALUKUUTARA;Pemerintah Provinsi Maluku Utara;daerah;;
PEMKAB-KABHALMAHERABARAT;Pemerintah Kabupaten Halmahera Barat;daerah;;
PEMKAB-KABHALMAHERASELATAN;Pemerintah Kabupaten Halmahera Selatan;daerah;;
PEMKAB-KABHALMAHERATENGAH;Pemerintah Kabupaten Halmahera Tengah;daerah;;
PEMKAB-KABHALMAHERATIMUR;Pemerintah Kabupaten Halmahera Timur;daerah;;
PEMKAB-KABHALMAHERAUTARA;Pemerintah Kabupaten Halmahera Utara;daerah;;
PEMKAB-KABKEPULAUANSULA;Pemerintah Kabupaten Kepulauan Sula;daerah;;
PEMKAB-KABPULAUMOROTAI;Pemerintah Kabupaten Pulau Morotai;daerah;;
PEMKAB-KABPULAUTALIABU;Pemerintah Kabupaten Pulau Taliabu;daerah;;
PEMKOT-KOTATERNATE;Pemerintah Kota Ternate;daerah;;
PEMKOT-KOTATIDOREKEPULAUAN;Pemerintah Kota Tidore Kepulauan;daerah;;
PEMPROV-NUSATENGGARABARAT;Pemerintah Provinsi Nusa Tenggara Barat;daerah;;
PEMKAB-KABBIMA;Pemerintah Kabupaten Bima;daerah;;
PEMKAB-KABDOMPU;Pemerintah Kabupaten Dompu;daerah;;
PEMKAB-KABLOMBOKBARAT;Pemerintah Kabupaten Lombok Barat;daerah;;
PEMKAB-KABLOMBOKTENGAH;Pemerintah Kabupaten Lombok Tengah;daerah;;
PEMKAB-KABLOMBOKTIMUR;Pemerintah Kabupaten Lombok Timur;daerah;;
PEMKAB-KABLOMBOKUTARA;Pemerintah Kabupaten Lombok Utara;daerah;;
PEMKAB-KABSUMBAWA;Pemerintah Kabupaten Sumbawa;daerah;;
PEMKAB-KABSUMBAWABARAT;Pemerintah Kabupaten Sumbawa Barat;daerah;;
PEMKOT-KOTABIMA;Pemerintah Kota Bima;daerah;;
PEMKOT-KOTAMATARAM;Pemerintah Kota Mataram;daerah;;
PEMPROV-NUSATENGGARATIMUR;Pemerintah Provinsi Nusa Tenggara Timur;daerah;;
PEMKAB-KABALOR;Pemerintah Kabupaten Alor;daerah;;
PEMKAB-KABBELU;Pemerintah Kabupaten Belu;daerah;;
PEMKAB-KABENDE;Pemerintah Kabupaten Ende;daerah;;
PEMKAB-KABFLORESTIMUR;Pemerintah Kabupaten Flores Timur;daerah;;
